epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
25,1225.39,2.16429,0.18919,0.28378,3.86397,0.000146224,0.000146224,0.000146224
1,76.2611,3.83928,0.01351,0.04054,3.93831,1.456e-05,1.456e-05,1.456e-05
26,1299.64,2.08332,0.18919,0.2973,3.92904,0.00014365,0.00014365,0.00014365
27,1350.24,2.04845,0.2027,0.2973,4.115,0.000141076,0.000141076,0.000141076
2,131.295,3.81871,0.01351,0.04054,3.97991,3.08139e-05,3.08139e-05,3.08139e-05
28,1414.35,1.92845,0.2027,0.2973,3.99284,0.000138502,0.000138502,0.000138502
3,195.362,3.80955,0.01351,0.02703,3.8808,4.6656e-05,4.6656e-05,4.6656e-05
29,1462.18,1.9098,0.2027,0.2973,4.0239,0.000135928,0.000135928,0.000135928
4,242.304,3.77571,0.01351,0.06757,3.89362,6.20862e-05,6.20862e-05,6.20862e-05
30,1510.88,1.85021,0.2027,0.2973,4.17506,0.000133354,0.000133354,0.000133354
5,289.999,3.63883,0,0.08108,3.87852,7.71046e-05,7.71046e-05,7.71046e-05
6,337.589,3.59362,0.05405,0.10811,3.84282,9.17111e-05,9.17111e-05,9.17111e-05
31,1559.22,1.80345,0.18919,0.2973,4.11693,0.00013078,0.00013078,0.00013078
7,385.682,3.50866,0.04054,0.13514,3.77368,0.000105906,0.000105906,0.000105906
32,1608.36,1.83963,0.2027,0.2973,4.20303,0.000128206,0.000128206,0.000128206
8,434.765,3.41644,0.06757,0.18919,3.74312,0.000119689,0.000119689,0.000119689
33,1657.48,1.73991,0.2027,0.2973,4.0654,0.000125632,0.000125632,0.000125632
9,491.714,3.35851,0.08108,0.21622,3.72218,0.00013306,0.00013306,0.00013306
34,1714.53,1.74459,0.2027,0.2973,4.22037,0.000123058,0.000123058,0.000123058
10,548.937,3.21511,0.10811,0.22973,3.77841,0.000146019,0.000146019,0.000146019
35,1772.72,1.80761,0.2027,0.2973,4.16776,0.000120484,0.000120484,0.000120484
